optim,n_functions,time,n_relations,size_max
1,31,372.02038407325745,10,10
2,31,265.28358221054077,10,10
3,31,246.25750756263733,10,10
0,32,383.95592498779297,10,10
1,32,386.39554810523987,10,10
2,32,284.0058159828186,10,10
3,32,258.4259147644043,10,10
0,33,396.48090839385986,10,10
1,33,398.4959659576416,10,10
2,33,288.4782838821411,10,10
3,33,266.3132658004761,10,10
0,34,408.0223755836487,10,10
1,34,415.0769054889679,10,10
2,34,309.07350516319275,10,10
3,34,274.7631046772003,10,10
0,35,435.95760583877563,10,10
1,35,427.31512689590454,10,10
2,35,308.5280771255493,10,10
3,35,285.4174289703369,10,10
0,1,0.0024178028106689453,15,10
1,1,0.002292633056640625,15,10
2,1,0.00202178955078125,15,10
3,1,0.0023560523986816406,15,10
0,2,0.039626359939575195,15,10
1,2,0.03801918029785156,15,10
2,2,0.03547191619873047,15,10
3,2,0.04293417930603027,15,10
0,3,0.04104804992675781,15,10
1,3,0.04068779945373535,15,10
2,3,0.04663228988647461,15,10
3,3,0.05233883857727051,15,10
0,4,0.2296309471130371,15,10
1,4,0.25934267044067383,15,10
2,4,0.22713565826416016,15,10
3,4,0.28110718727111816,15,10
0,5,0.38335728645324707,15,10
1,5,0.380629301071167,15,10
2,5,0.38553929328918457,15,10
3,5,0.4832296371459961,15,10
0,6,0.4434795379638672,15,10
1,6,0.3900485038757324,15,10
